melhor_mse_val,taxa_aprendizado,neuronios_oculta,paciencia,epoca_parada,acuracia_teste,tempo_s
0.177323,0.1,90,30,300,0.8955,417.2
0.179155,0.04,55,30,300,0.9104,173.3
0.180494,0.07,40,30,300,0.8806,147.9
0.187161,0.07,70,30,186,0.8806,181.0
0.187225,0.04,55,15,215,0.9104,124.2
0.187225,0.04,55,20,220,0.9104,127.1
0.187711,0.1,55,30,199,0.9030,129.8
0.187769,0.1,40,30,179,0.8657,106.1
0.188150,0.07,90,30,262,0.8881,340.7
0.190250,0.07,40,15,138,0.8806,68.0
0.190250,0.07,40,20,143,0.8806,70.5
0.191385,0.07,90,20,184,0.8881,239.2
0.191583,0.1,90,20,132,0.8955,183.6
0.192368,0.1,70,15,89,0.8955,101.3
0.192368,0.1,70,20,94,0.8955,106.9
0.192368,0.1,70,30,104,0.8955,118.3
0.192439,0.07,70,15,125,0.8806,121.6
0.192439,0.07,70,20,130,0.8806,126.5
0.193296,0.07,55,20,168,0.8731,107.1
0.193296,0.07,55,30,178,0.8731,113.5
0.194074,0.04,55,10,178,0.9104,102.8
0.194894,0.04,90,30,300,0.9104,354.2
0.195034,0.07,70,10,107,0.8806,104.1
0.196319,0.04,90,20,265,0.9104,312.9
0.197531,0.07,55,10,116,0.8731,74.0
0.197531,0.07,55,15,121,0.8731,77.1
0.198790,0.1,55,15,105,0.9030,68.5
0.198790,0.1,55,20,110,0.9030,71.7
0.200232,0.07,40,10,96,0.8806,47.3
0.200781,0.04,40,15,225,0.8806,90.2
0.200781,0.04,40,20,230,0.8806,92.2
0.200781,0.04,40,30,240,0.8806,96.2
0.201740,0.1,90,15,88,0.8955,122.4
0.202595,0.1,70,10,71,0.8955,80.8
0.203816,0.1,40,5,68,0.8657,40.3
0.203816,0.1,40,10,73,0.8657,43.3
0.203816,0.1,40,15,78,0.8657,46.2
0.203816,0.1,40,20,83,0.8657,49.2
0.203883,0.07,90,10,91,0.8881,118.3
0.203883,0.07,90,15,96,0.8881,124.8
0.204895,0.04,70,30,300,0.8955,235.4
0.208251,0.07,40,5,78,0.8806,38.4
0.210470,0.04,40,10,174,0.8806,69.7
0.211847,0.1,90,10,63,0.8955,87.6
0.214004,0.1,55,5,54,0.9030,35.2
0.214004,0.1,55,10,59,0.9030,38.5
0.214393,0.07,70,5,68,0.8806,66.2
0.214622,0.02,90,20,300,0.8955,386.8
0.214622,0.02,90,30,300,0.8955,386.8
0.215216,0.04,55,5,113,0.9104,65.3
0.216253,0.07,20,20,178,0.8507,43.2
0.216253,0.07,20,30,188,0.8507,45.7
0.217236,0.02,70,20,297,0.8881,255.5
0.217236,0.02,70,30,300,0.8881,258.1
0.217298,0.02,55,20,300,0.8955,208.4
0.217298,0.02,55,30,300,0.8955,208.4
0.217592,0.07,20,15,152,0.8507,36.9
0.218044,0.1,70,5,48,0.8955,54.6
0.219193,0.1,90,5,45,0.8955,62.6
0.219278,0.02,55,10,277,0.8955,192.4
0.219278,0.02,55,15,282,0.8955,195.9
0.219428,0.07,55,5,72,0.8731,45.9
0.220375,0.04,90,15,124,0.9104,146.4
0.221678,0.07,90,5,66,0.8881,85.8
0.228322,0.04,90,10,102,0.9104,120.4
0.228429,0.02,70,10,218,0.8881,187.5
0.228429,0.02,70,15,223,0.8881,191.8
0.230242,0.04,20,15,288,0.8507,65.2
0.230242,0.04,20,20,293,0.8507,66.3
0.230242,0.04,20,30,300,0.8507,67.9
0.231368,0.02,40,15,300,0.8507,148.7
0.231368,0.02,40,20,300,0.8507,148.7
0.231368,0.02,40,30,300,0.8507,148.7
0.231669,0.02,90,10,181,0.8955,233.4
0.231669,0.02,90,15,186,0.8955,239.8
0.233024,0.04,20,10,257,0.8507,58.2
0.233588,0.04,40,5,112,0.8806,44.9
0.235256,0.1,20,10,97,0.8582,36.6
0.235256,0.1,20,15,102,0.8582,38.5
0.235256,0.1,20,20,107,0.8582,40.4
0.235256,0.1,20,30,117,0.8582,44.1
0.239860,0.07,20,10,104,0.8507,25.3
0.240444,0.01,70,10,300,0.8657,279.1
0.240444,0.01,70,15,300,0.8657,279.1
0.240444,0.01,70,20,300,0.8657,279.1
0.240444,0.01,70,30,300,0.8657,279.1
0.241187,0.01,90,10,300,0.8731,272.0
0.241187,0.01,90,15,300,0.8731,272.0
0.241187,0.01,90,20,300,0.8731,272.0
0.241187,0.01,90,30,300,0.8731,272.0
0.241224,0.04,70,10,96,0.8955,75.3
0.241224,0.04,70,15,101,0.8955,79.2
0.241224,0.04,70,20,106,0.8955,83.2
0.243844,0.02,40,10,230,0.8507,114.0
0.247131,0.01,55,10,300,0.8657,201.6
0.247131,0.01,55,15,300,0.8657,201.6
0.247131,0.01,55,20,300,0.8657,201.6
0.247131,0.01,55,30,300,0.8657,201.6
0.248339,0.01,55,5,294,0.8657,197.6
0.248816,0.04,20,5,171,0.8507,38.7
0.252624,0.1,20,5,73,0.8582,27.5
0.253260,0.02,20,15,300,0.8582,81.2
0.253260,0.02,20,20,300,0.8582,81.2
0.253260,0.02,20,30,300,0.8582,81.2
0.254864,0.02,70,5,135,0.8881,116.1
0.256042,0.01,90,5,248,0.8731,224.9
0.256953,0.07,20,5,80,0.8507,19.4
0.258972,0.02,90,5,127,0.8955,163.7
0.261044,0.04,70,5,72,0.8955,56.5
0.262520,0.01,70,5,246,0.8657,228.9
0.262879,0.02,55,5,139,0.8955,96.6
0.270051,0.04,90,5,59,0.9104,69.7
0.271857,0.01,40,5,300,0.8507,124.6
0.271857,0.01,40,10,300,0.8507,124.6
0.271857,0.01,40,15,300,0.8507,124.6
0.271857,0.01,40,20,300,0.8507,124.6
0.271857,0.01,40,30,300,0.8507,124.6
0.274381,0.02,20,5,221,0.8582,59.8
0.274381,0.02,20,10,226,0.8582,61.1
0.287981,0.02,40,5,141,0.8507,69.9
0.361791,0.01,20,5,300,0.8209,60.5
0.361791,0.01,20,10,300,0.8209,60.5
0.361791,0.01,20,15,300,0.8209,60.5
0.361791,0.01,20,20,300,0.8209,60.5
0.361791,0.01,20,30,300,0.8209,60.5
